               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.018882,           0.0032704,                   0,             0.99596,                   1,               0.995,             0.46634,            0.012656,           0.0031214,                   0,              0.0892,              0.0012,              0.0012
                   1,            0.024198,           0.0035139,                   0,              0.9956,                   1,               0.995,             0.52509,            0.011156,           0.0030613,                   0,            0.077451,           0.0024505,           0.0024505
                   2,            0.015898,           0.0035568,                   0,             0.96931,               0.975,             0.97276,             0.40846,            0.013266,           0.0031346,                   0,             0.06565,           0.0036495,           0.0036495
                   3,            0.022638,           0.0031796,                   0,              0.9948,                   1,               0.995,             0.51706,            0.011602,           0.0030405,                   0,            0.053797,           0.0047971,           0.0047971
                   4,            0.022292,           0.0031274,                   0,             0.92569,                0.95,             0.91634,             0.40685,            0.013032,           0.0032498,                   0,            0.041893,           0.0058931,           0.0058931
                   5,            0.017963,           0.0032228,                   0,             0.91747,               0.925,             0.90054,             0.36634,            0.014233,            0.003361,                   0,            0.029938,           0.0069377,           0.0069377
                   6,            0.021809,           0.0036124,                   0,             0.29516,                0.75,             0.32486,            0.070071,            0.026422,           0.0034592,                   0,            0.017931,           0.0079308,           0.0079308
                   7,            0.030664,           0.0032448,                   0,             0.94581,              0.8728,             0.94046,             0.34224,            0.017206,           0.0033891,                   0,            0.008614,            0.008614,            0.008614
                   8,            0.027064,           0.0038227,                   0,             0.65745,                0.65,             0.57077,             0.15678,            0.020961,           0.0033297,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.019405,           0.0036402,                   0,             0.88178,             0.93247,             0.94196,             0.39415,             0.01496,           0.0032925,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.018331,           0.0033701,                   0,              0.8636,               0.875,             0.87201,             0.31973,            0.016464,           0.0032329,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.027432,           0.0034391,                   0,             0.81556,               0.825,              0.7775,              0.2319,            0.017591,           0.0033127,                   0,             0.00802,             0.00802,             0.00802
                  12,             0.02128,           0.0036806,                   0,             0.86731,                0.95,             0.94994,             0.30053,            0.016566,           0.0032107,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.024891,           0.0033174,                   0,             0.92423,               0.915,             0.87306,             0.19699,            0.019273,           0.0031007,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.027609,           0.0037553,                   0,             0.93706,               0.925,             0.92626,             0.30005,            0.016382,           0.0032588,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.027014,           0.0033547,                   0,             0.95152,             0.98137,              0.9858,             0.49488,            0.012859,           0.0034146,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.024087,           0.0035073,                   0,             0.92463,             0.92015,             0.93849,             0.38126,            0.014331,           0.0033914,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.025781,           0.0036565,                   0,             0.79809,               0.925,             0.89042,             0.28642,            0.016954,           0.0033179,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.016952,           0.0035112,                   0,                   1,             0.99536,               0.995,             0.43712,             0.01327,           0.0032811,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.016764,           0.0034074,                   0,             0.94473,                0.95,             0.94914,             0.35681,            0.014471,           0.0032579,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.018901,           0.0031619,                   0,             0.94637,               0.975,             0.95302,             0.36893,            0.015629,           0.0032027,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.018285,           0.0034105,                   0,             0.97164,               0.975,             0.95979,             0.49099,            0.012246,            0.003051,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.022502,           0.0034177,                   0,             0.97193,               0.975,             0.95367,             0.50021,            0.012147,           0.0030776,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.014543,           0.0032242,                   0,              0.9714,               0.975,             0.95374,             0.34764,            0.014798,           0.0030917,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.023389,           0.0036997,                   0,             0.94581,                0.95,             0.93468,             0.39404,            0.014129,           0.0030387,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.019731,           0.0032434,                   0,             0.96913,               0.975,             0.95453,             0.41119,            0.013148,           0.0030277,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.019033,           0.0032666,                   0,             0.97422,               0.975,             0.95502,             0.38561,            0.013576,           0.0029304,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.015211,           0.0029953,                   0,             0.97496,             0.97334,             0.96087,             0.48195,            0.012266,           0.0029285,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.017348,           0.0032863,                   0,              0.9971,                   1,               0.995,             0.45759,            0.012715,           0.0030025,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.022719,           0.0032157,                   0,             0.99713,                   1,               0.995,             0.49366,            0.011713,           0.0030347,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.023142,           0.0035409,                   0,             0.97239,               0.975,              0.9563,             0.43369,            0.013172,           0.0031063,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.021295,            0.003052,                   0,             0.99707,                   1,               0.995,             0.49904,            0.012048,           0.0031014,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.019665,           0.0035635,                   0,             0.99757,                   1,               0.995,             0.53295,            0.011822,           0.0031239,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.017393,           0.0032327,                   0,             0.99738,                   1,               0.995,             0.51953,            0.011886,           0.0031451,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.019101,           0.0030468,                   0,              0.9974,                   1,               0.995,              0.5453,            0.011343,           0.0029936,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.013303,           0.0031774,                   0,             0.99718,                   1,               0.995,             0.55055,            0.010968,           0.0029293,                   0,            0.003268,            0.003268,            0.003268
                  36,             0.01887,           0.0029152,                   0,             0.99572,                   1,               0.995,             0.52162,            0.011445,           0.0029625,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.012147,           0.0028901,                   0,             0.99455,                   1,               0.995,              0.5153,            0.011345,           0.0030408,                   0,            0.002872,            0.002872,            0.002872
                  38,             0.01837,           0.0034825,                   0,             0.99531,                   1,               0.995,             0.47095,            0.012752,           0.0030706,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.012937,           0.0030452,                   0,             0.99661,                   1,               0.995,             0.51317,            0.011456,            0.002951,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.028416,           0.0031077,                   0,             0.99715,                   1,               0.995,             0.52615,            0.011453,           0.0029822,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.019455,           0.0032309,                   0,             0.99763,                   1,               0.995,             0.52087,            0.011339,           0.0030107,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.023105,           0.0031734,                   0,             0.99784,                   1,               0.995,             0.52214,            0.011227,           0.0029942,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.014853,             0.00291,                   0,             0.99806,                   1,               0.995,             0.53747,             0.01128,           0.0029427,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.014919,           0.0031831,                   0,             0.99811,                   1,               0.995,             0.52922,            0.011063,           0.0028785,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.011956,           0.0029175,                   0,             0.99799,                   1,               0.995,              0.5319,             0.01112,           0.0028415,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.018089,           0.0032548,                   0,             0.99793,                   1,               0.995,             0.52309,             0.01123,           0.0028509,                   0,             0.00109,             0.00109,             0.00109
